Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File	Specie ID	Original Index	offset	review	type	Reason
726	Spectrogram 1	1	1905.408000000	1905.802666667	2296.875	3539.062	SMA03297_20210603_200000.wav	Dendropsophus_microcephalus	5969	1860	1	TP	Segment
866	Spectrogram 1	1	2053.472000000	2053.738666667	3656.250	4359.375	SMA03411_20210607_200000.wav	Dendropsophus_microcephalus	6449	2040	1	TP	Segment
662	Spectrogram 1	1	1805.397333333	1805.770666667	398.438	1382.812	SMA03297_20210603_193000.wav	Leptodactylus_fragilis	5721	1800	1	TP	Segment
694	Spectrogram 1	1	1840.277333333	1840.480000000	796.875	1710.938	SMA03297_20210603_193000.wav	Leptodactylus_fragilis	5807	1800	1	TP	Segment
1161	Spectrogram 1	1	2665.141333333	2665.770666667	914.062	3210.938	SMA03326_20210325_195000.wav	Leptodactylus_fragilis	8501	2640	1	TP	Segment
1166	Spectrogram 1	1	2681.237333333	2681.877333333	960.938	4593.750	SMA03326_20210325_195000.wav	Leptodactylus_fragilis	8548	2640	1	TP	Segment
41	Spectrogram 1	1	34.826666667	35.541333333	1757.812	4546.875	SMA03126_20210611_200000.wav	Leptodactylus_fuscus	163	0	1	TP	Segment
630	Spectrogram 1	1	1761.472000000	1761.642666667	2437.500	3000.000	SMA03294_20210607_181000.wav	Leptodactylus_fuscus	5559	1740	1	TP	Segment
655	Spectrogram 1	1	1797.237333333	1797.600000000	1476.562	3187.500	SMA03294_20210607_181000.wav	Leptodactylus_fuscus	5685	1740	1	TP	Segment
787	Spectrogram 1	1	2000.320000000	2000.725333330	1687.500	3398.438	SMA03320_20210319_183000.wav	Leptodactylus_fuscus	6248	1980	1	TP	Segment
804	Spectrogram 1	1	2009.920000000	2010.197333330	1710.938	2578.125	SMA03320_20210319_183000.wav	Leptodactylus_fuscus	6294	1980	1	TP	Segment
1013	Spectrogram 1	1	2448.714666670	2448.821333330	2132.812	2625.000	SMA03320_20210325_191000.wav	Leptodactylus_fuscus	7787	2400	1	TP	Segment
1020	Spectrogram 1	1	2453.504000000	2453.738666670	1757.812	4078.125	SMA03320_20210325_191000.wav	Leptodactylus_fuscus	7820	2400	1	TP	Segment
1122	Spectrogram 1	1	2551.413333330	2551.658666670	1875.000	2484.375	SMA03320_20210327_195000.wav	Leptodactylus_fuscus	8121	2520	1	TP	Segment
932	Spectrogram 1	1	2253.642666667	2254.144000000	1007.812	3960.938	SMA03286_20210323_184000.wav	Nyctidromus_albicollis	6986	2220	1	TP	Segment
1282	Spectrogram 1	1	2784.981333333	2785.365333333	1429.688	2039.062	SMA03294_20210325_193000.wav	Nyctidromus_albicollis	9065	2760	1	TP	Segment
1357	Spectrogram 1	1	3062.442666667	3062.709333333	1664.062	2203.125	SMA03251_20210323_185000.wav	Nyctidromus_albicollis	9887	3060	1	TP	Segment
1359	Spectrogram 1	1	3068.554666667	3068.874666667	1546.875	2296.875	SMA03251_20210323_185000.wav	Nyctidromus_albicollis	9899	3060	1	TP	Segment
1364	Spectrogram 1	1	3081.962666667	3082.186666667	1593.750	2203.125	SMA03251_20210323_185000.wav	Nyctidromus_albicollis	9929	3060	1	TP	Segment
1375	Spectrogram 1	1	3126.656000000	3128.256000000	679.688	3164.062	SMA03251_20210326_200000.wav	Nyctidromus_albicollis	10098	3120	1	TP	Segment
1394	Spectrogram 1	1	3167.157333333	3167.765333333	1593.750	2625.000	SMA03251_20210326_200000.wav	Nyctidromus_albicollis	10342	3120	1	TP	Segment
1440	Spectrogram 1	1	3326.730666667	3326.901333333	1664.062	2156.250	SMA03330_20210323_190000.wav	Nyctidromus_albicollis	10895	3300	1	TP	Segment
1441	Spectrogram 1	1	3331.861333333	3332.000000000	1734.375	2156.250	SMA03330_20210323_190000.wav	Nyctidromus_albicollis	10900	3300	1	TP	Segment
1442	Spectrogram 1	1	3338.997333333	3339.210666667	1500.000	2109.375	SMA03330_20210323_190000.wav	Nyctidromus_albicollis	10911	3300	1	TP	Segment
1443	Spectrogram 1	1	3341.909333333	3342.048000000	1781.250	2273.438	SMA03330_20210323_190000.wav	Nyctidromus_albicollis	10915	3300	1	TP	Segment
1444	Spectrogram 1	1	3349.589333333	3349.728000000	1710.938	2273.438	SMA03330_20210323_190000.wav	Nyctidromus_albicollis	10923	3300	1	TP	Segment
416	Spectrogram 1	1	656.192000000	656.565333333	609.375	1289.062	SMA03326_20210612_071000.wav	Ortalis_ruficauda	2426	600	1	TP	Segment
558	Spectrogram 1	1	1506.026666667	1506.837333333	187.500	5835.938	SMA03320_20210319_171000.wav	Patagioenas_cayennensis	4958	1500	1	TP	Segment
1447	Spectrogram 1	1	3385.418666667	3385.770666667	210.938	820.312	SMA03327_20210322_170000.wav	Patagioenas_cayennensis	11179	3360	1	TP	Segment
432	Spectrogram 1	1	776.106666667	776.405333333	2273.438	2625.000	SMA03411_20210605_074000.wav	Pitangus_sulphuratus	2635	720	1	TP	Segment
405	Spectrogram 1	1	585.962666667	587.637333333	1664.062	4546.875	SMA03251_20210608_062000.wav	Troglodytes_aedon	2318	540	1	TP	Segment
538	Spectrogram 1	1	1381.237333333	1382.250666667	4007.812	6445.312	SMA03251_20210605_053000.wav	Troglodytes_aedon	4774	1380	1	TP	Segment
541	Spectrogram 1	1	1399.594666667	1402.229333333	867.188	6398.438	SMA03251_20210605_053000.wav	Troglodytes_aedon	4787	1380	1	TP	Segment
1449	Spectrogram 1	1	3459.669333333	3463.861333333	914.062	6750.000	SMA03251_20210605_070000.wav	Troglodytes_aedon	11329	3420	1	TP	Segment
1459	Spectrogram 1	1	3564.330666667	3565.322666667	1828.125	3023.438	SMA03286_20210605_073000.wav	Troglodytes_aedon	11432	3540	1	TP	Segment
1460	Spectrogram 1	1	3567.477333333	3569.280000000	1851.562	3046.875	SMA03286_20210605_073000.wav	Troglodytes_aedon	11441	3540	1	TP	Segment
1462	Spectrogram 1	1	3574.218666667	3575.200000000	1898.438	3046.875	SMA03286_20210605_073000.wav	Troglodytes_aedon	11445	3540	1	TP	Segment
1464	Spectrogram 1	1	3580.501333333	3581.600000000	1734.375	3070.312	SMA03286_20210605_073000.wav	Troglodytes_aedon	11452	3540	1	TP	Segment
1465	Spectrogram 1	1	3593.504000000	3594.378666667	3843.750	4804.688	SMA03286_20210605_073000.wav	Troglodytes_aedon	11469	3540	1	TP	Segment
10	Spectrogram 1	1	11.669333333	12.064000000	2062.500	3093.750	SMA03126_20210611_200000.wav	Leptodactylus_fuscus	44	0	1	TP	Segment
1068	Spectrogram 1	1	2493.674666670	2493.941333330	1171.875	2531.250	SMA03320_20210327_193000.wav	Leptodactylus_fuscus	7968	2460	1	TP	Wrong
350	Spectrogram 1	1	468.960000000	469.194666667	2414.062	3023.438	SMA03175ICP_20210326_180000.wav	Crotophaga_ani	1984	420	1	TP	Wrong
407	Spectrogram 1	1	619.605333333	619.861333333	1406.250	2320.312	SMA03326_20210612_071000.wav	Crotophaga_ani	2390	600	1	TP	Wrong
472	Spectrogram 1	1	922.485333333	922.709333333	2320.312	2906.250	SMA03247_20210325_055000.wav	Dendropsophus_microcephalus	3003	900	1	TP	Wrong
473	Spectrogram 1	1	925.536000000	925.653333333	3820.312	5414.062	SMA03247_20210325_055000.wav	Dendropsophus_microcephalus	3007	900	1	TP	Wrong
476	Spectrogram 1	1	928.885333333	928.981333333	4453.125	5578.125	SMA03247_20210325_055000.wav	Dendropsophus_microcephalus	3014	900	1	TP	Wrong
523	Spectrogram 1	1	1372.021333333	1372.138666667	2320.312	3046.875	SMA03126_20210609_182000.wav	Leptodactylus_fuscus	4636	1320	1	TP	Wrong
589	Spectrogram 1	1	1546.357333333	1546.890666667	3726.562	5460.938	SMA03320_20210319_171000.wav	Leptodactylus_fuscus	5069	1500	1	TP	Wrong
1224	Spectrogram 1	1	2735.626666667	2736.064000000	3445.312	5320.312	SMA03251_20210324_051000.wav	Leptodactylus_fuscus	8865	2700	1	TP	Wrong
1266	Spectrogram 1	1	2764.650666667	2764.864000000	5367.188	5765.625	SMA03294_20210325_193000.wav	Nyctidromus_albicollis	9017	2760	1	TP	Wrong
